Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.273760286400848,52,11,2,0,0.6723906143092123,0.6442583943444876,0.6016204345934792,133.24351799823705,31.177115483575292
"[4.50, 4.80)",4.65,4.632469728388851,75,10,2,2,0.6495486319214702,0.5935450559725837,0.0,463.5688808312036,100.06948949722127
"[4.80, 5.10)",4.949999999999999,4.96832381015456,47,3,1,0,0.6533367098782952,0.6656321996320888,0.6876301979027554,269.83259876712054,54.31059026700723
"[5.10, 5.40)",5.25,5.240594571517454,27,7,2,0,0.7413754052478405,0.678197873718687,0.5072558473394986,-43.84291138955058,-8.366018548321996
"[5.40, 5.70)",5.550000000000001,5.8335723404173985,32,1,2,0,0.6438820783170327,0.7494394918959323,0.45212978837750767,49.546646158464,8.493362774501719
"[5.70, 6.00)",5.85,5.845048451668294,14,1,0,0,0.6342820552547235,0.6517074685716007,0.0,119.79785529510606,20.49561372941457
"[6.00, 6.30)",6.15,6.125832711086823,11,0,0,0,0.6579110322117104,0.6700594801368782,0.0,102.42138605797292,16.719585873216197
"[6.30, 6.60)",6.449999999999999,6.4454479604885195,5,0,0,0,0.6115912542600639,0.7050659795612855,0.0,52.6940821634751,8.175394865724936
"[6.60, 6.90)",6.75,6.6919488398731355,1,0,0,0,0.44983470484432453,0.6884135648592817,0.0,14.87646188212409,2.2230387945413694
"[6.90, 7.50)",7.2,7.348541885267712,3,0,0,0,0.7398450027560467,0.6666819363009361,0.0,29.79762730528622,4.054903376821493
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0.0,0.47970845705925624,0.0,0.0,0.0
